broj_karte|sifra_konkretnog_leta|kupac|prodavac|sediste|datum_prodaje|obrisana|status|putnici
0|0001|{'ime': 'qhmdgvoraj', 'prezime': 'mhkfqdrwyr', 'korisnicko_ime': 'ffkyohvmmt', 'lozinka': 'mkxgubdasa', 'email': 'jncuiuxjsx@email.com', 'pasos': '805614662', 'drzavljanstvo': 'ltsvbcnxzj', 'telefon': '379155', 'pol': 'cyebiyemfd', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6662|19.10.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'qumabfiuwn', 'prezime': 'srdmjxnscj', 'korisnicko_ime': 'zulwudvxpp', 'lozinka': 'cwradtpfia', 'email': 'uowvoenyvs@email.com', 'pasos': '105029880', 'drzavljanstvo': 'ztheossfek', 'telefon': '699989', 'pol': 'uhmpcjsplg', 'uloga': 'korisnik'}, {'ime': 'hlpvwlhblu', 'prezime': 'ibapssueyp', 'korisnicko_ime': 'atvklzepko', 'lozinka': 'ukzgeinaqh', 'email': 'ddbfocoarw@email.com', 'pasos': '969868550', 'drzavljanstvo': 'wlfdyynhys', 'telefon': '308785', 'pol': 'fdhyzwsbfr', 'uloga': 'korisnik'}, {'ime': 'vkxrbmywds', 'prezime': 'lsjrucspgy', 'korisnicko_ime': 'suqyzkaypr', 'lozinka': 'bswmymfkru', 'email': 'wlnjmcvkdo@email.com', 'pasos': '949321646', 'drzavljanstvo': 'ezebogiphz', 'telefon': '673562', 'pol': 'djdsbdixbd', 'uloga': 'korisnik'}]
1|0002|{'ime': 'nxakghztmb', 'prezime': 'xrovamxvza', 'korisnicko_ime': 'dumprpmpji', 'lozinka': 'akqhvnycyy', 'email': 'brxgqcekld@email.com', 'pasos': '990068862', 'drzavljanstvo': 'odnthqjltd', 'telefon': '810283', 'pol': 'xfowvysbrn', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6887|19.08.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'mlclcqhuxu', 'prezime': 'ulsqvprfnv', 'korisnicko_ime': 'lcoghvaque', 'lozinka': 'pbkjetswtq', 'email': 'wqewwptvrq@email.com', 'pasos': '313701350', 'drzavljanstvo': 'pxrejzkpkk', 'telefon': '672833', 'pol': 'kskqcuuxun', 'uloga': 'korisnik'}, {'ime': 'lyqiuwcrju', 'prezime': 'cdkywirvci', 'korisnicko_ime': 'uwstcunqrr', 'lozinka': 'rzxzulvfuy', 'email': 'bvbntznhco@email.com', 'pasos': '865476469', 'drzavljanstvo': 'qxrgvolczv', 'telefon': '230490', 'pol': 'eholrzvauc', 'uloga': 'korisnik'}, {'ime': 'ncatxlsisa', 'prezime': 'zfvwulwfld', 'korisnicko_ime': 'evejawpfyj', 'lozinka': 'emkuyddtsc', 'email': 'uiqdegzfmd@email.com', 'pasos': '136148270', 'drzavljanstvo': 'znyigsnnhf', 'telefon': '375497', 'pol': 'uuzydafhzj', 'uloga': 'korisnik'}]
2|0003|{'ime': 'vdcuqnrhzf', 'prezime': 'rarlnteoyq', 'korisnicko_ime': 'vkkkrwvdwa', 'lozinka': 'avltqjtdcs', 'email': 'desuoxowuv@email.com', 'pasos': '484330960', 'drzavljanstvo': 'jqkzacynhq', 'telefon': '843907', 'pol': 'cgtoepvjnw', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6774|15.04.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'hooyevyyyn', 'prezime': 'pbwcwkntmf', 'korisnicko_ime': 'atssdclrxh', 'lozinka': 'wtsfjjudyr', 'email': 'lspuwzubvf@email.com', 'pasos': '253435089', 'drzavljanstvo': 'hozhgfualu', 'telefon': '766575', 'pol': 'rroduvsbie', 'uloga': 'korisnik'}, {'ime': 'mwmeyjezck', 'prezime': 'dmhfgqaara', 'korisnicko_ime': 'kisypvohmh', 'lozinka': 'imnnefssma', 'email': 'zfwbaxmlhg@email.com', 'pasos': '837359640', 'drzavljanstvo': 'tcknsnuqir', 'telefon': '624509', 'pol': 'phbdgajqst', 'uloga': 'korisnik'}, {'ime': 'lzvdowlksw', 'prezime': 'xjoasxoroo', 'korisnicko_ime': 'xqtzwkgpjp', 'lozinka': 'bvopwltsej', 'email': 'iudfcrlnpr@email.com', 'pasos': '221413892', 'drzavljanstvo': 'tbivphuyfr', 'telefon': '230902', 'pol': 'yhpfwtkijd', 'uloga': 'korisnik'}]
3|0004|{'ime': 'mgtimmpnyg', 'prezime': 'dvtxbeylmo', 'korisnicko_ime': 'bnpqllrple', 'lozinka': 'nhfudukvtu', 'email': 'ybfrrtmnov@email.com', 'pasos': '469229353', 'drzavljanstvo': 'xglhxghqro', 'telefon': '605691', 'pol': 'xreknslpjd', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6599|03.03.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'zmroyzxqxc', 'prezime': 'hmewtvygol', 'korisnicko_ime': 'ldmnaegqyf', 'lozinka': 'nymfvivvmh', 'email': 'inljnrfcah@email.com', 'pasos': '186145814', 'drzavljanstvo': 'xwbkrqybjc', 'telefon': '510787', 'pol': 'mtjfonxnmk', 'uloga': 'korisnik'}, {'ime': 'zfsbhtflrm', 'prezime': 'wcigkzwjxt', 'korisnicko_ime': 'ftnpkiysqn', 'lozinka': 'lpineryftu', 'email': 'qjfikmferi@email.com', 'pasos': '850725214', 'drzavljanstvo': 'zjusbrocdb', 'telefon': '427170', 'pol': 'grjfvsxcmk', 'uloga': 'korisnik'}, {'ime': 'bjggepuicp', 'prezime': 'xuauasbkhz', 'korisnicko_ime': 'wvlbzepctb', 'lozinka': 'avegkdfkqd', 'email': 'qaaouvextq@email.com', 'pasos': '296461342', 'drzavljanstvo': 'nrddeyhxvy', 'telefon': '198540', 'pol': 'lrjqrssbul', 'uloga': 'korisnik'}]
4|0005|{'ime': 'gdndtqtboj', 'prezime': 'dstkoucmmc', 'korisnicko_ime': 'kvjqyxrifc', 'lozinka': 'avhmaeyjqh', 'email': 'tfpugfettg@email.com', 'pasos': '395100405', 'drzavljanstvo': 'wzaqezofxp', 'telefon': '927167', 'pol': 'fhoignmzve', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6796|28.07.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'rljjfllncw', 'prezime': 'puwezjftvn', 'korisnicko_ime': 'lhwhhwxaic', 'lozinka': 'lnqovocqmh', 'email': 'mcgjlwtegm@email.com', 'pasos': '268873418', 'drzavljanstvo': 'pzckvnoipx', 'telefon': '808510', 'pol': 'njxtfcegtb', 'uloga': 'korisnik'}, {'ime': 'phwyqsoibg', 'prezime': 'voojwrsvac', 'korisnicko_ime': 'ewlvxgsqkp', 'lozinka': 'biiwdtruvw', 'email': 'ldxgtfysev@email.com', 'pasos': '492897510', 'drzavljanstvo': 'vzcnzmikox', 'telefon': '139250', 'pol': 'eompatcuak', 'uloga': 'korisnik'}, {'ime': 'rdabnwtukq', 'prezime': 'dooiexjhgf', 'korisnicko_ime': 'vwadjkbxig', 'lozinka': 'fjvrahsaei', 'email': 'yzxvxyeizo@email.com', 'pasos': '688576049', 'drzavljanstvo': 'grrfpeljeo', 'telefon': '785996', 'pol': 'whfigqmfys', 'uloga': 'korisnik'}]
5|0006|{'ime': 'wjvwfiqhoy', 'prezime': 'clmakmdink', 'korisnicko_ime': 'nsngrawxgz', 'lozinka': 'tkfoysbkjw', 'email': 'usbcnrlies@email.com', 'pasos': '340164629', 'drzavljanstvo': 'drklxatzoh', 'telefon': '188525', 'pol': 'pcgajdkovq', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6774|27.08.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'vdbltvhaop', 'prezime': 'pgmqkurheo', 'korisnicko_ime': 'cytqfvkktd', 'lozinka': 'qzzzuuilrr', 'email': 'gkwfkvxazy@email.com', 'pasos': '434873976', 'drzavljanstvo': 'ycrfsaljdh', 'telefon': '230971', 'pol': 'jdzemhkmum', 'uloga': 'korisnik'}, {'ime': 'innlphstpj', 'prezime': 'itjafwfjqw', 'korisnicko_ime': 'hmdmqqvwie', 'lozinka': 'ghjfmxgbjo', 'email': 'aocyjbztqs@email.com', 'pasos': '708984246', 'drzavljanstvo': 'wkjctqxxjo', 'telefon': '174623', 'pol': 'nslpudcihy', 'uloga': 'korisnik'}, {'ime': 'qahjjqjxpd', 'prezime': 'abxquidkfz', 'korisnicko_ime': 'sukcurmhwv', 'lozinka': 'gpahdseqoa', 'email': 'zephkftehj@email.com', 'pasos': '327564287', 'drzavljanstvo': 'irkpavdbqb', 'telefon': '119428', 'pol': 'xeysnqfvyl', 'uloga': 'korisnik'}]
6|0007|{'ime': 'byoluxuhpn', 'prezime': 'mzjxuphgce', 'korisnicko_ime': 'jofhyvqugc', 'lozinka': 'ocsetznyok', 'email': 'reuxulkifb@email.com', 'pasos': '414628028', 'drzavljanstvo': 'fwqxpwcyku', 'telefon': '280200', 'pol': 'tmlokswjma', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|662|29.04.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'rvjuhvlnza', 'prezime': 'zitajedvxt', 'korisnicko_ime': 'kcujjheqpi', 'lozinka': 'wbdgbvouuk', 'email': 'jmorsancla@email.com', 'pasos': '291145068', 'drzavljanstvo': 'bczykpersb', 'telefon': '120670', 'pol': 'vxiiypknhc', 'uloga': 'korisnik'}, {'ime': 'zudwzoxwqe', 'prezime': 'ygqftluvts', 'korisnicko_ime': 'lotfaamlzg', 'lozinka': 'hurgxvmhjv', 'email': 'gkqgzdxjnt@email.com', 'pasos': '802857047', 'drzavljanstvo': 'sorahrcjqe', 'telefon': '305159', 'pol': 'wbsygbyfoo', 'uloga': 'korisnik'}, {'ime': 'ctwrpzitpz', 'prezime': 'tdkjryebrz', 'korisnicko_ime': 'crlilyvtxb', 'lozinka': 'ylttvhxwwo', 'email': 'cnymnajtxc@email.com', 'pasos': '733037610', 'drzavljanstvo': 'btkyuwsnsi', 'telefon': '258108', 'pol': 'ktikivyjjj', 'uloga': 'korisnik'}]
7|0008|{'ime': 'ntzhogkjsl', 'prezime': 'tdaxbhpjpa', 'korisnicko_ime': 'lsmuukqdul', 'lozinka': 'tfklkwmure', 'email': 'loycbjgwna@email.com', 'pasos': '523595466', 'drzavljanstvo': 'yoggaieiof', 'telefon': '696892', 'pol': 'odwbwnjkpf', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|7073|03.12.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'hzixvmpfnv', 'prezime': 'prphicwubp', 'korisnicko_ime': 'jtfsiiskrk', 'lozinka': 'chohxlxtcy', 'email': 'duchbuctem@email.com', 'pasos': '539615224', 'drzavljanstvo': 'nopeknqmws', 'telefon': '955939', 'pol': 'pgriliulhv', 'uloga': 'korisnik'}, {'ime': 'bfypuidipn', 'prezime': 'ccygnocgrm', 'korisnicko_ime': 'sfeeonolma', 'lozinka': 'ffuqsdipds', 'email': 'dyiymfoeka@email.com', 'pasos': '934241386', 'drzavljanstvo': 'wcilwhufsl', 'telefon': '426029', 'pol': 'kheikhnfrm', 'uloga': 'korisnik'}, {'ime': 'kwwtjoxcam', 'prezime': 'txnzvwflqu', 'korisnicko_ime': 'psgogvltmu', 'lozinka': 'ktjovblvmk', 'email': 'evnoojqnvb@email.com', 'pasos': '347405539', 'drzavljanstvo': 'mrttuglkzn', 'telefon': '128835', 'pol': 'rityzzamiu', 'uloga': 'korisnik'}]
8|0009|{'ime': 'zcwlnctytz', 'prezime': 'ibabeuefjd', 'korisnicko_ime': 'gmxctejtug', 'lozinka': 'ozugkquhos', 'email': 'zgurxzfqni@email.com', 'pasos': '274278227', 'drzavljanstvo': 'lzevpmxhpt', 'telefon': '658465', 'pol': 'uumopausuw', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|7141|24.04.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'mabvdwsnko', 'prezime': 'irdexgelnk', 'korisnicko_ime': 'wobpsahtnw', 'lozinka': 'coakuyfaak', 'email': 'uvufeivyvh@email.com', 'pasos': '530624059', 'drzavljanstvo': 'qympvpzbhn', 'telefon': '829992', 'pol': 'pyfxhdswgk', 'uloga': 'korisnik'}, {'ime': 'njslebzshs', 'prezime': 'stcgdckrvw', 'korisnicko_ime': 'inyralkfep', 'lozinka': 'wepuvpxvtg', 'email': 'arwnryooll@email.com', 'pasos': '882262889', 'drzavljanstvo': 'fmqnialbxw', 'telefon': '368027', 'pol': 'lxttbkvgst', 'uloga': 'korisnik'}, {'ime': 'utujeqkwev', 'prezime': 'idltznvmhl', 'korisnicko_ime': 'sloqbtddey', 'lozinka': 'buzhctwyor', 'email': 'twlrfvdrqp@email.com', 'pasos': '238293054', 'drzavljanstvo': 'cawybsqgct', 'telefon': '604283', 'pol': 'skldsybeod', 'uloga': 'korisnik'}]
9|0010|{'ime': 'pptdeoxxjb', 'prezime': 'hiihmdqiuz', 'korisnicko_ime': 'xmxssuaqiy', 'lozinka': 'eqvwfpvhfh', 'email': 'rapdwlbcrb@email.com', 'pasos': '715180744', 'drzavljanstvo': 'dfqtchspbk', 'telefon': '861290', 'pol': 'viuhiljfql', 'uloga': 'korisnik'}|{'ime': 'zznaqjajkk', 'prezime': 'bhiyocuxee', 'korisnicko_ime': 'xhsefgbbbc', 'lozinka': 'eqomtmproo', 'email': 'qqaqbdhjdq@email.com', 'pasos': '480558525', 'drzavljanstvo': 'botoeztehm', 'telefon': '709872', 'pol': 'jbjcwnrruv', 'uloga': 'prodavac'}|6562|18.06.2022.|False||[{'ime': 'mwfzjjquft', 'prezime': 'hwukaihqvk', 'korisnicko_ime': 'jbuijirvqz', 'lozinka': 'vacnywanyn', 'email': 'rtyedegylm@email.com', 'pasos': '776017561', 'drzavljanstvo': 'tavdumnuwy', 'telefon': '681837', 'pol': 'hsqpjceulf', 'uloga': 'korisnik'}, {'ime': 'irlncqeoca', 'prezime': 'zcmecgruok', 'korisnicko_ime': 'jewnxhshfr', 'lozinka': 'jijofiofwi', 'email': 'tjmcugxoyp@email.com', 'pasos': '633419964', 'drzavljanstvo': 'yeyjucbyft', 'telefon': '986813', 'pol': 'nqdpnrevny', 'uloga': 'korisnik'}, {'ime': 'johlupimbf', 'prezime': 'bjigcvwnra', 'korisnicko_ime': 'piybdrnmfp', 'lozinka': 'lwlfiwdmqp', 'email': 'swjqkzwbzt@email.com', 'pasos': '451020022', 'drzavljanstvo': 'jidhxfwxvr', 'telefon': '130700', 'pol': 'fxsljyczwy', 'uloga': 'korisnik'}, {'ime': 'bebomrgdav', 'prezime': 'fohzbulvvh', 'korisnicko_ime': 'wwkwcrhvub', 'lozinka': 'tlxuyzayvk', 'email': 'toifjhjgau@email.com', 'pasos': '621742365', 'drzavljanstvo': 'immbdkmgna', 'telefon': '365035', 'pol': 'nllhlaajne', 'uloga': 'korisnik'}]
